competitor_species,rii_tb_s,rii_tb,loc
BH,-0.24566555416170172,-0.6276507277497084,GR1
BT,-0.5130214640773187,-0.8061736811064903,GR1
CM,-0.3117032841550404,-0.26875319370002826,GR1
HV,-0.09714120186037029,-0.5387648278938644,GR1
LP,-0.214969406768928,-0.1409442627878711,GR1
LS,-0.4524596497240146,-0.8265638408526197,GR1
PS,-0.2266469041156064,-0.6081983977985171,GR1
VG,-0.17001692539759056,-0.595184597348367,GR1
BH,-0.29194086935813035,-0.511590625211142,GR3
BT,-0.43635507875748336,-0.7090821006233007,GR3
CM,-0.08877662843365441,-0.5025493112130677,GR3
HV,-0.12564330138830127,-0.5840806826469324,GR3
LP,-0.06976608973006246,-0.14067117859720107,GR3
LS,-0.05956616770167254,-0.8182603536211024,GR3
PS,-0.4220327029966653,-0.5882002734869591,GR3
VG,-0.21478777147332628,-0.8342059925514755,GR3
BH,0.3301000836043331,-0.4618992666270593,GR4
BT,-0.48511371993714797,-0.8588878154020874,GR4
CM,-0.3422338841346917,-0.6550836147247214,GR4
HV,-0.014145608193987025,-0.43222408486263164,GR4
LP,0.15785489187239152,-0.23037732702290917,GR4
LS,-0.2908142706851099,-0.7804230790814548,GR4
PS,-0.21320352307262233,-0.6559015166119324,GR4
VG,0.09481561143365633,-0.2667190119821699,GR4
BH,-0.5687097491258921,-0.3668766191207508,GR5
BT,-0.693190377416243,-0.6680078495642615,GR5
CM,-0.21335577408868378,-0.4347622908916766,GR5
HV,-0.41192072700783033,-0.695898360314361,GR5
LP,-0.4250494207902261,-0.16922756442281137,GR5
LS,-0.30016227149106023,-0.48261995183570927,GR5
PS,-0.4242184565168163,-0.32246855926637025,GR5
VG,-0.39182005709255663,-0.4087539172234855,GR5
BH,-0.4811928668676602,-0.4697502761078999,HU1
BT,-0.5550462371580703,-0.6537918060703307,HU1
CM,-0.43486601765496996,-0.45552740075814724,HU1
HV,-0.21364910267490952,-0.37957113451721314,HU1
LP,0.061031013971632554,-0.16713526833314876,HU1
LS,-0.32412758138999903,-0.6415570734839509,HU1
PS,-0.15473291105763048,-0.4283583437916221,HU1
VG,-0.4250558877253673,-0.5161288342422331,HU1
BH,-0.35192387784869994,-0.44432840282820896,HU2
BT,-0.29820274948325703,-0.6460564357716974,HU2
CM,-0.4106565279675712,-0.6539087071774401,HU2
HV,-0.3178314589216608,-0.5881040421676204,HU2
LP,-0.02307748016339406,-0.14829134849553371,HU2
LS,-0.26424260931405663,-0.8383915779682385,HU2
PS,0.01041104854098885,-0.5896644426337492,HU2
VG,0.04738011233904649,-0.49537176334285804,HU2
BH,-0.28673483012874,-0.6745037642739151,HU3
BT,-0.6257133023301215,-0.7324409980816255,HU3
CM,-0.23530390782581634,-0.5134471738746826,HU3
HV,-0.11068977208692918,-0.471061597216824,HU3
LP,-0.2875584260433322,-0.002208252004596013,HU3
LS,-0.4763154170449694,-0.8829106466829181,HU3
PS,-0.4189659414148504,-0.5899882508914165,HU3
VG,-0.577128802233962,-0.7285780106496473,HU3
BH,-0.11522072557415766,-0.38703316519517755,HU4
BT,-0.6727109501576266,-0.6205813640408351,HU4
CM,-0.4074827767572966,-0.111500968528598,HU4
HV,-0.20575030880555506,-0.41315748785844486,HU4
LP,0.006187326393984316,0.009338293024834878,HU4
LS,-0.4556048209856124,-0.5361025807969393,HU4
PS,-0.38009078718740846,-0.41968355237268024,HU4
VG,-0.06564648419282164,-0.09168686644619477,HU4
BH,-0.33273412634513577,-0.5467450084523244,HU5
BT,-0.707102434844406,-0.3713621889758376,HU5
CM,-0.41271309575970355,-0.33413937325293863,HU5
HV,-0.2510153238798157,-0.36450394115876694,HU5
LP,-0.24870145281107708,-0.13252889734525308,HU5
LS,-0.2977963172521169,-0.637682777907212,HU5
PS,-0.5280454225140081,-0.20034146936724245,HU5
VG,-0.21675785927007513,-0.4026225187973247,HU5
BH,-0.30948902822769836,-0.6001142552092241,HU6
BT,-0.619902517092463,-0.6646904419578126,HU6
CM,-0.18592733752071824,-0.5481428102851029,HU6
HV,-0.10606832814037566,-0.4541395942189577,HU6
LP,-0.09286109440816197,-0.11918836681185571,HU6
LS,-0.161264629315987,-0.6638571033888886,HU6
PS,-0.15107798333091588,-0.49612440370017297,HU6
VG,-0.16492921089424203,-0.5489060541225432,HU6
BH,-0.25499764827908983,-0.4110544059287795,HU7
BT,-0.630117726841034,-0.810350618101792,HU7
CM,-0.6885694067632699,-0.41145124256020543,HU7
HV,-0.4494816121474029,-0.45475259124628103,HU7
LP,-0.23802723750026283,-0.07922937852907523,HU7
LS,-0.5853455865801974,-0.7035089414595993,HU7
PS,-0.5982428999782043,-0.5001579575571705,HU7
VG,-0.47509130327388993,-0.6670359581304638,HU7
BH,-0.4743551837028774,-0.5738937921183255,HU8
BT,-0.7390806849494359,-0.6254068437109581,HU8
CM,-0.25405803353440154,-0.6261428560096531,HU8
HV,-0.3855905522409646,-0.35303567534286273,HU8
LP,-0.7376569630640741,-0.18091787545924293,HU8
LS,-0.5958783067583171,-0.6800520840403058,HU8
PS,-0.7593847149423645,-0.5486876657072915,HU8
